id,predicted
1,4.3026101832468315
2,4.481809655324196
3,4.279805407051433
4,3.606617974207472
5,4.275329134550512
6,3.6709427821919416
7,3.4366605253406184
8,4.3348258863630456
9,3.301514051769954
10,4.4604502255740055
11,4.529974534007274
12,3.465118434423308
13,3.4931203079942263
14,3.5961456892166064
15,4.242500773572903
16,4.385159650932798
17,3.864759686871519
18,3.8462578001334933
19,4.6790376304948635
20,4.638561192738035
21,3.8632509236832044
22,3.937874284699571
23,4.339195380099711
24,4.470089088139055
25,4.441501739675863
26,4.136566281278999
27,3.774585694073945
28,3.4110443487847455
29,4.322147810143119
30,4.458698891273664
31,4.19122472031033
32,3.984165659967883
33,3.6760192197881696
34,3.911065841080774
35,3.315932706238514
36,4.385685604106358
37,4.196308969405036
38,4.2368270575755815
39,3.547023305361248
40,3.6383381882509873
41,4.212313563627485
42,3.9628625079497954
43,4.04538105891766
44,4.563815209131814
45,3.2613973089825956
46,4.518098688467703
47,4.452591628173819
48,3.9287721030068146
49,3.4816123908204046
50,4.18445057284679
51,4.521529857876281
52,4.045666438413166
53,4.136387913449885
54,4.2016141627959405
55,3.8757997560397333
56,3.455156258271104
57,4.291777699452704
58,4.485417284559275
59,3.4105527913382887
60,3.6031527210527488
61,4.0398663314399
62,3.6054990690165103
63,4.164372039868973
64,4.649887879935729
65,3.9814081368763583
66,3.5131250691234928
67,3.5357614715050207
68,3.7831362688415267
69,3.698483787698788
70,3.240350724943793
71,3.96613323450831
72,4.038314029437461
73,3.6180555629391624
74,4.012542653610354
75,4.090552974884957
76,4.822411542131305
77,4.369917210381737
78,4.136890720657476
79,3.4767806468528506
80,3.9010624413406783
81,3.8433278669709496
82,4.0783980366244945
83,4.371512387570206
84,3.5539297619136097
85,3.8098648511637982
86,3.8621452176961415
87,4.23138470141566
88,3.9488495174606535
89,4.168299869036731
90,4.138100900935754
91,4.151822369414706
92,3.5633163777823498
93,4.04795302845108
94,3.5722484108734003
95,4.094240781434846
96,3.294553863042003
97,3.7341635640190796
98,4.436078308562507
99,4.437130024811027
100,4.358791540563455
101,4.428537418466439
102,4.428427813979201
103,4.177544741213308
104,3.093790883179882
105,3.7601008243751743
106,4.014853509021137
107,3.514501840279469
108,3.95111090054663
109,3.5049536678954096
110,3.3805934745993023
111,4.272992483209717
112,3.6907984262179383
113,3.5129050633044456
114,4.385468466887469
115,4.120022454573537
116,4.251762279394336
117,3.855319572467952
118,3.9635470211950676
119,4.349521415975375
120,4.242327415910551
121,3.770035848942787
122,4.433198906330056
123,3.7791056663487694
124,4.795580461928477
125,4.136890808118366
126,3.703004492016749
127,3.8682733297310192
128,4.373013893001122
129,3.972090201489866
130,4.779866953162163
131,4.041912924234663
132,4.281762218790639
133,3.7885163972889373
134,4.047207992771087
135,4.185522283191759
136,2.959460920982153
137,3.6606566401313243
138,4.197162166449731
139,2.916529234347206
140,3.8985288405565224
141,4.677265737339517
142,4.164607112248894
143,4.255447963007199
144,3.4041068517772186
145,3.91398823079166
146,3.362265920154993
147,4.472972020967742
148,4.272163868847408
149,3.555304960571212
150,3.6108990500970415
151,3.823998054469816
152,4.068079114017546
153,4.316821090872603
154,4.1505655500321135
155,4.129244037474606
156,4.419963960127276
157,4.662634853696636
158,3.488824130633359
159,4.092926098599549
160,4.3326675939582575
161,4.139672726398189
162,3.848544537957134
163,3.2244242460156793
164,4.398110306525837
165,3.46971634331372
166,4.09767392485088
167,3.506226165586914
168,3.4271843069420194
169,3.915724371003075
170,4.166795573706527
171,4.1691113916140035
172,3.927988261407323
173,4.023532842648996
174,4.423474732349947
175,3.5787528226530947
176,4.3787083250548315
177,3.886027865359824
178,4.2889640543025
179,4.787020737682223
180,3.6372486136436146
181,4.175777565608679
182,4.6526516927316
183,3.7889138761196772
184,4.52758316445583
185,4.277859759670513
186,4.312107227166775
187,3.341880154705455
188,4.076738742138509
189,4.425445491096137
190,3.752215957206693
191,4.422357407632011
192,4.51494050941555
